partNumber,depth,height,length,weight
"M44511,M44511,024052870770","74.5","6","38","30.06"
"M44521,M44521,024052870787","74.5","6","53","41.63"
"M44531,M44531,024052870794","79.5","6","60","50"
"M44541,M44541,024052870800","80","6","76","63.33"
"M50531,M50531,024052828962","79","14","59","98"
"M50541,M50541,024052828979","79","14","75","128"
"M50551,M50551,024052828986","83","14","71","128"
"M50571,M50571,024052828993","79","14","37","75"
"M50631,M50631,024052829013","79","15","59","98"
"M50641,M50641,024052829020","79","15","75","128"
"M50651,M50651,024052829037","83","15","71","128"
"M50731,M50731,024052829051","79","14","59","98"
"M50741,M50741,024052829068","79","14","75","128"
"M50751,M50751,024052829075","83","14","71","128"
"M50771,M50771,024052829082","79","14","37","75"
"M50831,M50831,024052829099","79","15","59","98"
"M50841,M50841,024052829105","79","15","75","128"
"M50851,M50851,024052829174","83","15","71","128"
"M50871,M50871,024052829181","79","15","37","75"
"M50911,M50911,024052829341","74","10","37","48.37"
"M50921,M50921,024052829358","74","10","52","65.46"
"M50931,M50931,024052829365","79","10","59","78.55"
"M50941,M50941,024052829372","79","10","75","97.11"
"M51731,M51731,024052899672","79.5","16","60","88"
"M51741,M51741,024052899689","79.5","16","76","111.5"
"M51811,M51811,024052907056","74.5","10","38","48"
"M51821,M51821,024052907063","74.5","10","53","64"
"M51831,M51831,024052907070","79.5","10","60","76"
"M51841,M51841,024052907087","79.5","10","76","94"
"M52231,M52231,024052890310","79.5","12","60","116"
"M52241,M52241,024052890327","79.5","12","76","150"
"M52251,M52251,024052890334","83.5","12","72","150"
"M52331,M52331,024052890341","79.5","12","60","112"
"M52341,M52341,024052890358","79.5","12","76","144"
"M52351,M52351,024052890365","83.5","12","72","144"
"M52431,M52431,024052890372","79.5","14","60","113"
"M52441,M52441,024052890389","79.5","14","76","145"
"M52451,M52451,024052890396","83.5","14","72","145"
"M52511,M52511,024052817416","74","12","37","58.43"
"M52521,M52521,024052817423","74","12","52","78.28"
"M52531,M52531,024052817430","79","12","59","91.07"
"M52541,M52541,024052817447","79","12","75","113.12"
"M57131,M57131,024052813210","79","14","59","98"
"M57141,M57141,024052813227","79","14","75","128"
"M57151,M57151,024052813234","83","14","71","128"
"M57231,M57231,024052813241","79","16.25","59","105"
"M57241,M57241,024052813258","79","16.25","75","135"
"M57251,M57251,024052813265","83","16.25","71","135"
"M57331,M57331,024052813272","79","16.75","59","115"
"M57341,M57341,024052813289","79","16.75","75","145"
"M57351,M57351,024052813296","83","16.75","71","145"
"M58711,M58711,024052813302","74","8","37","33"
"M58721,M58721,024052813319","74","8","52","45"
"M58731,M58731,024052813326","79","8","59","54"
"M58741,M58741,024052813333","79","8","75","66"
"M58751,M58751,024052813340","83","8","71","67"
"M58911,M58911,024052813357","74","10","37","46"
"M58911X,M58911X,024052854558","74.5","10","38","46"
"M58921,M58921,024052813364","74","10","52","62"
"M58931,M58931,024052813432","79","10","59","74"
"M58931X,M58931X,024052854565","79.5","10","60","74"
"M58941,M58941,024052813449","79","10","75","92"
"M58951,M58951,024052813456","83","10","71","93"
"M59011,M59011,024052813463","74","12","37","49"
"M59021,M59021,024052813470","74","12","52","65"
"M59031,M59031,024052813487","79","12","59","79"
"M59031X,M59031X,024052854602","79.5","12","60","79"
"M59041,M59041,024052813494","79","12","75","98"
"M59041X,M59041X,024052854619","79.5","12","76","98"
"M59051,M59051,024052813500","83","12","71","99"
"M59111,M59111,024052813517","74.5","8","38","28"
"M59121,M59121,024052813524","74.5","8","53","36.56"
"M59131,M59131,024052813531","79.5","8","60","47"
"M59141,M59141,024052813548","79.5","8","76","54.21"
"M59151,M59151,024052813555","83.5","8","72","57"
"M59211,M59211,024052813562","74.41","10","37.99","33"
"M59221,M59221,024052813579","74.41","10","53.15","43.34"
"M59231,M59231,024052813586","79.53","10","59.84","50.88"
"M59241,M59241,024052813593","79.53","10","75.98","64.54"
"M59251,M59251,024052813609","83.46","10","72.05","63.96"
"M59311,M59311,024052813616","74.41","12","37.99","36.73"
"M59321,M59321,024052813623","74.41","12","53.15","52"
"M59331,M59331,024052813630","79.53","12","59.84","60.01"
"M59341,M59341,024052813647","79.53","12","75.98","76.1"
"M59351,M59351,024052813654","83.46","12","72.05","75.34"
"M62111,M62111,024052499193","74","13.5","37","60.14"
"M62121,M62121,024052499209","74","13.5","52","80.43"
"M62131,M62131,024052499216","79","13.5","59","93.4"
"M62141,M62141,024052499223","79","13.5","75","116.75"
"M62151,M62151,024052499230","83","13.5","71","115.41"
"M62211,M62211,024052499247","74","14","37","59.54"
"M62221,M62221,024052499254","74","14","52","81.03"
"M62231,M62231,024052499261","79","14","59","94.5"
"M62241,M62241,024052499278","79","14","75","117.99"
"M62251,M62251,024052499285","83","14","71","117.33"
"M62321,M62321,024052499292","74","16","52","89.03"
"M62331,M62331,024052499308","79","16","59","103.76"
"M62341,M62341,024052499315","79","16","75","128.75"
"M62351,M62351,024052499322","83","16","71","128.46"
"M62511,M62511,024052499421","74","12","37","37.3"
"M62521,M62521,024052499438","74","12","52","51.6"
"M62531,M62531,024052499445","79","12","59","62"
"M62541,M62541,024052499452","79","12","75","78.5"
"M62551,M62551,024052499469","83","12","71","78.1"
"M62571,M62571,024052656268","79","12","37","39.5"
"M62611,M62611,024052499476","74","12","37","37.3"
"M62621,M62621,024052499483","74","12","52","51.6"
"M62631,M62631,024052499490","79","12","59","62"
"M62641,M62641,024052499506","79","12","75","105"
"M62651,M62651,024052499513","83","12","71","78.1"
"M62671,M62671,024052656275","79","12","37","39.5"
"M62711,M62711,024052499520","74","13","37","39.1"
"M62721,M62721,024052499537","74","13","52","54.1"
"M62731,M62731,024052499544","79","13","59","65"
"M62741,M62741,024052499551","79","13","75","82.3"
"M62751,M62751,024052499568","83","13","71","81.9"
"M63331,M63331,024052551747","79","16","59","105.84"
"M63341,M63341,024052551754","79","16","75","130.18"
"M65811,M65811,024052671476","74.02","7.17","38.19","23.37"
"M65821,M65821,024052671483","74.02","7.17","53.15","33"
"M65911,M65911,024052671506","74.02","7.17","38.19","27"
"M65921,M65921,024052671513","74.02","7.17","53.15","34"
"M67311,M67311,024052499711","74","10","37","35.92"
"M67321,M67321,024052499728","74","10","52","46"
"M67331,M67331,024052499735","79","10","59","54"
"M67341,M67341,024052499742","79","10","75","66"
"M67351,M67351,024052523881","83","10","71","65"
"M67411,M67411,024052499759","74","12","37","38"
"M67411X,M67411X,024052854077","74","12","37","38"
"M67421,M67421,024052499766","74","12","52","47"
"M67421X,M67421X,024052854084","74","12","52","47"
"M67431,M67431,024052499773","79","12","59","62"
"M67441,M67441,024052499780","79","12","75","75"
"M67451,M67451,024052523898","83","12","71","77"
"M69911,M69911,024052459357","74.5","10","38","30"
